Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Rice,8810,Drip,Arid,3.66,Efficient Irrigation,741,Clayey,Low,127,115,99,No,4232,1173,211,Winter,32,1441,5.436101204710531,3.104557536139968,No,13.827542105476578,No,Yes,Yes,Yes,57,27,High
Apples,2947,Flood,Tropical,1.93,Crop Cover,877,Silty,Moderate,60,275,44,Yes,1690,6591,174,Spring,23,399,7.053451621541516,1.1959310514448604,No,18.735864425454597,Yes,Yes,Yes,No,63,97,Medium
Cabbage,17881,None,Continental,6.99,Efficient Irrigation,538,Loamy,Moderate,167,50,38,Yes,3409,4225,162,Winter,14,594,3.6267067957917463,1.9435018968429811,Yes,16.861825921482396,No,Yes,Yes,Yes,50,62,High
Zucchini,19906,Flood,Mediterranean,8.05,Mulching,631,Clayey,Severe,182,141,98,Yes,4789,10913,327,Winter,27,1340,8.659349101749076,4.145548624335832,No,19.880626595056555,Yes,No,Yes,Yes,95,48,Low
Melons,12177,None,Mediterranean,7.38,None,845,Loamy,Severe,64,159,86,Yes,1857,10604,284,Spring,14,873,4.573528250440452,3.2142271697111227,Yes,14.217374860747427,No,Yes,No,Yes,79,18,Medium
Strawberries,14601,Drip,Tropical,8.07,None,238,Clayey,Severe,30,99,25,Yes,4525,3070,210,Summer,27,598,2.2169442716138654,2.985404281285378,No,3.9968770349320355,No,No,Yes,No,64,89,Medium
Squash,19707,Flood,Mediterranean,4.39,None,144,Sandy,Moderate,15,50,77,No,3638,1739,156,Autumn,12,1485,7.826980650192771,3.6548913739513336,Yes,10.060049953614795,Yes,No,Yes,Yes,83,54,High
Grapes,11574,Flood,Temperate,3.66,Mulching,680,Loamy,High,40,274,84,No,4637,13286,106,Winter,37,1866,7.9942526481679135,4.848657384159448,Yes,2.3055274396108354,Yes,No,No,Yes,65,51,Medium
Rice,3053,Sprinkler,Temperate,5.74,Efficient Irrigation,687,Loamy,High,125,87,33,Yes,1720,10228,358,Summer,10,1698,4.84309767903819,0.4110683315400486,No,10.251931248399831,Yes,Yes,No,No,79,98,Low
Tomatoes,18495,Flood,Mediterranean,5.62,Mulching,580,Clayey,Moderate,200,280,53,No,3478,5329,161,Spring,16,773,5.56297892699609,2.4205784260264807,No,5.00206818560084,Yes,Yes,No,Yes,60,76,High
Sugarcane,8472,Sprinkler,Arid,5.98,Mulching,180,Silty,Low,124,294,87,Yes,2800,4934,238,Winter,18,1936,9.07945347289597,0.701618958527858,Yes,19.538292266524362,Yes,Yes,No,No,56,16,Medium
Cauliflower,18458,Flood,Mediterranean,2.52,None,494,Clayey,Moderate,16,182,24,Yes,4454,656,126,Summer,14,1710,8.700840918284504,2.3284789334087925,Yes,14.514540224153095,Yes,No,No,No,63,93,Low
Pineapples,10124,Drip,Continental,1.97,Crop Cover,285,Clayey,Severe,170,157,90,No,4873,7538,154,Summer,27,1545,7.043267128945098,4.461667686941794,No,18.253183170323958,Yes,No,Yes,Yes,76,92,High
Sugarcane,13313,Drip,Semi-arid,6.75,Mulching,944,Silty,Severe,11,151,99,No,2701,8543,270,Summer,16,1233,8.054312788904499,3.28631204887905,No,10.548746581173443,Yes,No,Yes,No,50,50,Medium
Cabbage,4534,None,Mediterranean,5.04,Efficient Irrigation,927,Loamy,Low,146,214,12,No,2847,2082,319,Autumn,14,650,6.3824279678897,0.29497049275939624,No,3.269612967965186,No,No,No,No,71,22,High
Corn,9923,Flood,Temperate,5.82,Mulching,563,Silty,Moderate,73,260,52,Yes,2410,4829,317,Spring,37,530,8.737108841573916,2.275614274973546,No,5.197987754963421,Yes,Yes,No,No,59,50,Low
Cotton,14246,Sprinkler,Arid,4.28,Crop Cover,607,Sandy,Moderate,28,193,50,No,4905,8523,212,Spring,25,867,1.9986390010700537,3.607569739372001,No,17.12245804330931,Yes,Yes,No,No,91,96,Low
Grapes,15792,Flood,Semi-arid,9.8,Mulching,506,Silty,High,32,200,56,Yes,3064,8229,288,Autumn,34,1628,6.132587756210899,4.956600496600964,Yes,14.860082160141669,Yes,Yes,No,Yes,59,88,Medium
Soybeans,9621,Flood,Semi-arid,4.67,None,864,Sandy,High,53,193,64,No,1666,10551,165,Winter,32,1227,8.592974225337073,3.632788718925771,Yes,11.603287175677853,Yes,Yes,Yes,No,90,36,High
Plums,9341,None,Arid,4.0,Crop Cover,254,Silty,High,125,144,80,No,883,11519,165,Summer,26,883,8.81519050030056,3.640040318012334,No,17.6031502970108,No,Yes,No,Yes,80,33,High
Potatoes,9674,Flood,Temperate,6.8,Crop Cover,750,Silty,High,90,135,73,Yes,3904,13217,337,Autumn,28,1207,1.7207305221454212,1.328142321198426,Yes,6.284164309495498,Yes,No,Yes,No,74,80,Medium
Peaches,11037,Sprinkler,Semi-arid,8.45,Efficient Irrigation,107,Clayey,Moderate,37,201,29,No,400,13969,249,Winter,29,1662,7.553312317055516,3.3603739682064786,No,19.416500772287236,No,Yes,Yes,Yes,67,46,Medium
Rice,3928,Sprinkler,Mediterranean,7.5,Crop Cover,183,Silty,High,80,287,42,No,2947,14019,133,Spring,16,1941,8.321622730488201,2.8228234677754447,No,19.50924274569368,No,Yes,No,Yes,60,33,High
Apples,14999,None,Mediterranean,6.32,Efficient Irrigation,786,Sandy,Severe,100,70,26,Yes,1084,9502,198,Summer,14,848,5.03390784177774,2.1280284955556064,No,3.5093673393470954,No,No,No,No,93,24,Medium
Zucchini,16361,Drip,Continental,5.27,None,583,Silty,Severe,186,149,31,No,2873,9324,60,Summer,21,1092,8.216068388390493,1.7633248875627225,No,19.665596514889664,No,Yes,No,Yes,55,93,High
Zucchini,13787,None,Semi-arid,4.31,None,543,Sandy,Low,137,276,64,No,3927,2171,119,Summer,18,673,6.836122589556068,3.805466146842539,Yes,2.8174163785549937,Yes,No,No,No,67,38,High
Carrots,2072,Drip,Semi-arid,4.37,None,185,Loamy,Low,35,56,81,Yes,4904,6718,267,Spring,35,747,4.983512564377838,3.590791717040553,Yes,13.894234137916731,Yes,No,No,Yes,87,87,High
Cauliflower,9180,Drip,Arid,6.69,None,565,Sandy,Moderate,78,275,64,No,836,14161,78,Winter,10,1366,4.258340228910342,1.040515616801979,Yes,2.697759107173377,No,Yes,No,No,88,92,Low
Cucumbers,1857,None,Tropical,4.84,None,115,Loamy,Low,45,281,76,Yes,3062,12420,76,Winter,28,1083,7.209098529447624,0.4154687884229048,No,6.620322715378023,Yes,Yes,Yes,Yes,50,23,Low
Corn,8079,Flood,Temperate,7.93,Mulching,878,Loamy,Severe,35,90,61,Yes,1320,248,149,Summer,31,1595,5.955992637215048,3.4647456979189517,Yes,12.558468569309465,Yes,Yes,No,No,57,73,High
Wheat,17843,Flood,Temperate,6.38,Crop Cover,684,Loamy,High,117,182,20,Yes,2484,13279,140,Winter,26,339,5.570254953040402,3.8852085083319,No,7.168696982075141,Yes,Yes,No,No,62,44,Low
Plums,6233,Drip,Semi-arid,6.03,None,964,Loamy,High,116,164,27,No,3969,8206,350,Summer,23,251,7.839661935649308,0.585955603681756,No,16.41685425552444,No,No,Yes,No,79,88,Medium
Strawberries,11238,Sprinkler,Semi-arid,7.54,Crop Cover,872,Silty,Moderate,116,225,27,No,2828,13405,106,Spring,20,674,1.899084640942732,0.16420229889928464,Yes,5.038269883734216,Yes,Yes,Yes,Yes,58,77,Medium
Cauliflower,804,Flood,Tropical,4.95,Crop Cover,264,Sandy,Severe,142,59,96,Yes,999,3516,223,Spring,29,495,2.2654407418459415,0.7310571699286353,Yes,17.002314659326164,Yes,Yes,Yes,Yes,64,26,High
Oats,16957,Sprinkler,Mediterranean,2.03,Mulching,924,Loamy,Severe,34,136,57,Yes,555,11048,201,Winter,37,429,8.281495202862935,4.771206846579165,No,15.845423916411896,No,Yes,Yes,Yes,60,69,Low
Melons,14926,Drip,Continental,7.63,Crop Cover,134,Sandy,Severe,98,289,35,No,4310,10781,280,Winter,13,1964,6.577281520140374,2.4220862259439766,Yes,19.697109208563486,Yes,Yes,No,No,69,61,Medium
Garlic,3230,None,Temperate,9.71,Efficient Irrigation,699,Sandy,Severe,146,261,49,No,1392,5146,64,Summer,40,676,1.5546090165191455,2.6467552713290488,Yes,19.21484549823129,No,No,No,No,69,65,High
Carrots,6244,Drip,Semi-arid,6.16,None,986,Silty,Low,54,113,80,No,4618,12088,363,Autumn,14,439,1.8012117972264536,3.3025579405827923,Yes,19.245812452712034,Yes,No,Yes,No,68,59,Low
Soybeans,1688,Drip,Arid,5.52,Efficient Irrigation,791,Clayey,Moderate,153,209,51,No,313,13309,82,Winter,12,575,4.93061090124581,2.8022716214205747,No,4.088269211936359,No,Yes,Yes,Yes,68,44,Low
Barley,1917,Drip,Tropical,3.51,None,202,Loamy,Severe,166,54,16,Yes,4913,1072,85,Autumn,40,1798,6.57832228754688,2.688200838824387,No,1.7128238550074522,No,Yes,Yes,No,53,98,Medium
Apples,8593,None,Mediterranean,5.6,Mulching,493,Loamy,Moderate,38,240,18,Yes,2393,1510,250,Spring,27,1988,9.283922522736987,1.3558825403435608,Yes,18.333380148796635,No,Yes,No,No,93,21,Medium
Quinoa,19652,Flood,Continental,7.79,Mulching,588,Silty,Severe,152,116,50,No,2971,5645,282,Summer,26,1026,9.162985232876022,3.0726136855823474,No,5.955326747100381,Yes,Yes,Yes,Yes,84,48,High
Oats,11429,Flood,Mediterranean,9.67,Efficient Irrigation,934,Clayey,Severe,191,86,22,No,4797,14706,208,Summer,36,500,7.886029782418788,4.162941333910086,No,9.182154190823097,Yes,Yes,Yes,No,76,51,Low
Sugarcane,16111,Flood,Continental,8.69,None,431,Sandy,Low,11,127,15,No,2906,1602,97,Spring,12,1466,3.081318218476767,4.703973484353619,No,15.223475111327117,Yes,No,No,No,84,25,Low
Wheat,14761,None,Arid,8.21,None,921,Clayey,High,165,199,12,No,3272,10835,334,Spring,14,1385,8.371117512460911,2.176344588829945,No,8.853762871466987,No,Yes,No,Yes,67,73,Low
Sugarcane,10520,Flood,Continental,1.36,Mulching,175,Clayey,Low,132,274,97,Yes,1184,6493,315,Autumn,22,212,8.571501983148146,2.3053129487623005,Yes,5.7463176556939874,Yes,Yes,No,No,61,97,Low
Garlic,2985,Flood,Arid,2.75,Mulching,801,Silty,High,158,104,57,No,1880,5652,85,Summer,20,583,3.965441124542264,0.6686474159036805,No,17.24399984510659,Yes,No,No,No,50,17,Low
Garlic,593,Flood,Temperate,5.54,Mulching,224,Loamy,Severe,83,263,12,No,2560,14376,295,Winter,20,1899,2.3267870447170056,4.750992205474673,Yes,6.557375921145479,Yes,Yes,Yes,No,54,77,High
Mangoes,5594,None,Continental,5.83,Efficient Irrigation,627,Silty,Moderate,104,81,93,Yes,3861,7022,252,Autumn,39,1009,6.177365904447222,1.3282079865961396,No,14.7743387017703,Yes,Yes,Yes,Yes,51,35,Low
Peppers,13101,Flood,Arid,3.69,Crop Cover,693,Loamy,Moderate,25,214,20,Yes,4891,4726,200,Summer,24,1297,4.591333598382972,1.099090287001583,No,16.71449985376033,Yes,Yes,Yes,Yes,50,82,High
Avocados,11146,Flood,Tropical,1.67,Mulching,255,Loamy,Low,91,150,66,Yes,4433,1189,166,Autumn,20,1030,1.0551894627045066,2.2324974108614932,No,16.11709904859748,No,No,No,Yes,70,96,Medium
Bananas,11215,Sprinkler,Semi-arid,2.41,None,282,Loamy,Moderate,71,210,22,Yes,4482,2955,293,Spring,22,1050,3.0613972061744956,4.8784335240053895,No,12.726902523956092,No,Yes,Yes,Yes,54,95,Medium
Melons,6943,None,Arid,1.68,Mulching,381,Silty,Moderate,36,159,74,No,1957,5895,275,Autumn,18,812,6.926721067742952,4.907178797460267,Yes,3.384363379896232,No,No,No,No,86,28,Low
Apples,9384,Flood,Mediterranean,4.1,None,600,Sandy,Moderate,143,92,18,Yes,4931,7396,68,Autumn,27,826,4.117289916228867,1.7617692782060446,No,16.41179056739224,Yes,Yes,Yes,No,61,14,Medium
Broccoli,17998,None,Temperate,6.27,Mulching,219,Sandy,Severe,108,239,53,No,1375,2789,204,Summer,22,894,8.25215306754022,0.645227070555003,No,19.650077034579343,No,No,Yes,No,88,32,Medium
Carrots,6730,Flood,Continental,3.33,Efficient Irrigation,782,Sandy,Moderate,161,176,32,No,1343,8509,276,Winter,25,1663,3.406563647861624,2.0203138240994774,Yes,19.171512646611106,Yes,No,Yes,Yes,93,17,Low
Carrots,6459,Drip,Arid,4.84,Efficient Irrigation,971,Sandy,High,52,238,51,No,2144,4612,268,Autumn,20,1522,5.194632297580616,2.4677403094589287,No,16.544110661411494,Yes,No,Yes,Yes,63,10,High
Rice,17029,Drip,Continental,6.48,Efficient Irrigation,996,Silty,High,39,217,84,Yes,1232,3450,336,Autumn,40,658,6.9813335927164255,3.2945816468294393,No,16.948429258113975,Yes,No,No,No,74,88,Low
Cauliflower,16758,Sprinkler,Temperate,2.74,Efficient Irrigation,143,Loamy,Moderate,35,206,59,No,4561,10554,286,Spring,13,639,4.720546018912875,2.701567875815426,No,2.8134123228880266,No,No,Yes,Yes,95,77,Medium
Grapes,885,Drip,Tropical,7.72,Crop Cover,135,Sandy,Moderate,22,203,15,Yes,4516,14693,212,Summer,24,1065,3.517156964158961,1.0205662722624282,Yes,7.078947685609105,Yes,Yes,No,Yes,94,99,Low
Avocados,14385,Drip,Mediterranean,2.28,Mulching,653,Clayey,High,175,67,50,No,363,6729,102,Autumn,24,497,4.226294523532696,1.4389234832952689,Yes,13.150693922595401,Yes,No,Yes,Yes,72,57,High
Peaches,18994,Drip,Mediterranean,7.87,None,464,Sandy,Severe,42,294,10,No,3245,14925,164,Summer,22,1248,5.398439236454142,2.5121976326123696,Yes,9.833357035687175,No,Yes,No,No,60,28,High
Spinach,1725,Flood,Continental,3.47,None,743,Silty,High,91,246,72,Yes,2943,10414,168,Autumn,20,283,2.788373921064002,0.7912787781056614,No,8.252064228049857,Yes,No,Yes,No,50,66,Low
Mangoes,17928,Flood,Mediterranean,3.19,None,254,Loamy,Moderate,157,240,45,No,3784,4850,119,Spring,27,874,9.238923653534705,2.9916219260228223,No,6.481431264160265,No,No,No,Yes,86,81,High
Wheat,18031,Drip,Semi-arid,6.0,None,414,Clayey,Moderate,74,111,57,Yes,3095,3284,285,Autumn,11,1435,1.536029800543803,2.3587520659840293,No,13.733543902888684,No,Yes,No,Yes,68,10,Medium
Beans,13852,Flood,Continental,5.97,Efficient Irrigation,715,Silty,Low,92,98,46,Yes,4377,1684,323,Spring,29,554,2.341578482978318,3.6168043211182748,Yes,11.747874569848927,No,No,Yes,No,70,44,Low
Cauliflower,8291,Flood,Arid,7.38,Crop Cover,429,Clayey,Low,153,155,72,No,2887,3693,75,Spring,40,913,8.091492921658062,0.512138981869651,Yes,18.27743999332263,Yes,No,No,No,56,80,Low
Oats,12642,Drip,Mediterranean,5.09,Efficient Irrigation,751,Loamy,High,62,291,22,Yes,971,3901,189,Winter,15,1855,9.918749243881681,3.593387742924049,Yes,16.485467956898887,No,Yes,No,Yes,54,76,Medium
Avocados,9502,None,Tropical,7.31,Efficient Irrigation,508,Silty,Severe,193,274,52,Yes,3801,13846,250,Spring,35,1181,5.588390555815765,3.5720281948565873,Yes,17.585745725301713,No,No,Yes,Yes,61,31,Low
Beans,18118,Drip,Continental,9.49,Mulching,613,Loamy,Moderate,169,253,56,No,4894,12053,255,Winter,35,684,5.724087173389262,0.2691963534940469,No,17.772490223175936,Yes,No,Yes,Yes,85,35,Medium
Pumpkins,4785,Drip,Temperate,2.99,Crop Cover,783,Loamy,Low,44,296,20,Yes,4803,6409,278,Autumn,29,1278,3.9544215496312276,4.085834324026241,Yes,1.5296686668577846,Yes,No,Yes,No,58,35,Low
Pumpkins,13720,Flood,Arid,9.89,Mulching,811,Silty,High,139,113,32,No,1774,6156,327,Summer,33,1766,8.041676428143877,3.1838195815522123,No,17.08208959098189,Yes,No,No,Yes,85,81,Medium
Lettuce,4484,Drip,Temperate,7.15,None,705,Sandy,High,57,271,17,Yes,3963,14769,141,Summer,19,1528,9.819906622203828,1.4272762382592332,Yes,17.808889948357795,No,No,No,Yes,80,39,Medium
Broccoli,2684,Flood,Continental,4.14,Crop Cover,781,Silty,Low,174,241,52,Yes,4434,10611,244,Spring,32,915,3.659020999565528,2.56788748526142,Yes,9.446631473295437,No,Yes,No,Yes,57,100,High
Blueberries,14737,None,Semi-arid,5.44,Crop Cover,812,Silty,Severe,153,94,78,No,768,14574,326,Summer,26,915,5.324532344757674,0.8574202834476164,No,12.873803738150926,Yes,Yes,Yes,Yes,67,72,Medium
Oats,13570,None,Arid,1.59,Mulching,199,Clayey,Low,196,243,26,No,3298,12441,286,Winter,39,495,8.951963652037449,3.5846408351569403,No,17.30828777102835,No,Yes,No,Yes,83,52,Low
Wheat,5818,Drip,Semi-arid,8.17,Efficient Irrigation,694,Silty,Severe,99,277,91,Yes,2190,11425,93,Winter,28,1094,6.837519330157998,3.8928343421758744,No,9.141839137618426,Yes,No,No,No,87,100,High
Zucchini,12289,Sprinkler,Tropical,3.06,None,906,Sandy,Low,106,281,28,No,4831,6081,67,Spring,30,1454,3.960899179567921,3.8487433445629353,Yes,6.082887841188855,No,Yes,Yes,No,86,96,Medium
Oats,3903,Drip,Arid,1.63,Mulching,679,Loamy,Low,145,263,90,Yes,644,8692,274,Spring,26,560,6.926215828191373,0.26751187020780043,Yes,7.352843079635433,No,Yes,Yes,Yes,69,98,Medium
Wheat,697,Flood,Temperate,6.66,Mulching,663,Sandy,Moderate,78,267,82,Yes,4970,4766,200,Winter,28,617,7.971121424552376,0.6794724046669183,Yes,6.216225812290141,Yes,Yes,No,No,53,10,High
Squash,13408,None,Continental,8.06,Efficient Irrigation,742,Sandy,Moderate,55,88,51,No,3138,8327,313,Summer,32,1135,5.116935464912294,0.37452663051538404,No,9.270149208830043,No,No,No,No,67,20,Low
Plums,1569,Drip,Semi-arid,6.31,Efficient Irrigation,175,Loamy,High,39,172,34,Yes,1726,5787,361,Spring,14,917,3.034208829196576,3.2488266480497785,Yes,16.18075404146053,Yes,Yes,Yes,Yes,95,34,Medium
Cherries,8495,Drip,Continental,8.51,Crop Cover,197,Sandy,High,148,254,56,Yes,4620,11266,98,Summer,27,328,3.1502719570717117,1.73530506426902,No,19.256251852502473,No,Yes,Yes,Yes,92,43,High
Sugarcane,9651,None,Arid,7.08,Efficient Irrigation,873,Sandy,Moderate,62,266,73,No,620,828,157,Autumn,15,1748,9.128051384260882,3.7269219405368412,Yes,4.461294280988532,No,No,No,Yes,68,47,Low
Tomatoes,2613,Drip,Temperate,1.31,Crop Cover,371,Clayey,Low,197,185,35,Yes,1689,7094,139,Autumn,13,1578,4.788304239513962,4.830398855764094,No,11.889927624844644,No,Yes,No,No,77,72,Medium
Oats,11064,Drip,Temperate,3.46,None,497,Clayey,High,161,152,42,No,960,1589,344,Autumn,15,1110,4.074049448900601,4.364176871587505,No,15.833813747952226,No,No,Yes,Yes,58,81,Low
Bananas,8257,None,Continental,1.92,None,266,Clayey,Low,39,119,41,No,4568,7737,262,Summer,25,1771,9.421088033026004,0.7988910748554037,Yes,4.628836599372029,No,No,Yes,No,65,18,High
Blueberries,4816,Flood,Semi-arid,3.48,Efficient Irrigation,507,Silty,High,21,244,56,Yes,2132,8432,233,Summer,30,1084,7.937839221267463,3.3042852616462324,No,14.335636533670966,No,No,Yes,Yes,93,62,Low
Sugarcane,16558,Flood,Arid,1.31,Crop Cover,369,Loamy,Moderate,51,191,44,No,3748,12839,276,Autumn,36,1599,7.708022880578588,0.6970082417390915,Yes,14.176729606127944,No,Yes,Yes,No,93,39,High
Corn,3701,Drip,Continental,1.68,None,164,Silty,Moderate,162,206,53,Yes,4917,14832,271,Autumn,18,661,2.075729654362818,1.9030045801144198,No,2.0813119186713855,Yes,Yes,No,Yes,68,41,High
Oranges,19519,None,Mediterranean,5.65,None,929,Loamy,Severe,110,68,72,No,462,6461,75,Summer,33,1776,9.459821088920025,2.142272018520658,No,18.090345588493708,Yes,Yes,No,Yes,52,69,Medium
Sugarcane,16043,Flood,Temperate,9.91,None,176,Silty,Moderate,122,271,69,No,2910,13272,245,Winter,23,415,6.065252734484424,1.9049037101113193,No,5.154242200561473,Yes,Yes,No,No,65,72,High
Soybeans,17391,Flood,Continental,8.64,Efficient Irrigation,320,Clayey,Severe,92,282,33,No,1518,2843,268,Summer,19,1517,8.75657938794572,4.246346989683189,No,9.175814898696512,Yes,No,Yes,No,78,31,Low
Soybeans,17479,Sprinkler,Mediterranean,8.71,Efficient Irrigation,772,Sandy,Severe,147,284,27,No,1516,13697,205,Summer,32,1503,9.424451665467975,4.372802548590108,No,19.315678966313122,Yes,No,Yes,No,88,77,High
Tomatoes,8832,Flood,Semi-arid,9.06,Mulching,934,Silty,Severe,80,198,64,Yes,459,5571,326,Autumn,17,1628,7.551277601660658,3.5015219001034477,No,8.640630352429183,No,No,Yes,No,79,53,Medium
Spinach,19354,Drip,Temperate,7.81,Mulching,502,Clayey,Severe,30,228,26,Yes,1286,1398,67,Autumn,15,1820,5.95928076711643,3.6044048740976598,Yes,18.047120005926214,No,No,Yes,Yes,80,55,Medium
Bananas,5666,Flood,Tropical,5.78,Mulching,137,Loamy,Low,135,285,14,No,1247,1105,68,Spring,30,609,6.142723007649917,1.4185960177762182,Yes,16.167499454122257,No,No,No,Yes,67,60,Medium
Spinach,8661,Sprinkler,Continental,9.23,Efficient Irrigation,555,Silty,Moderate,122,279,92,No,714,493,278,Spring,26,1199,5.078966685059592,3.160126186778486,No,7.065390189300431,No,No,No,Yes,95,49,High
Plums,17697,Sprinkler,Arid,5.27,None,121,Loamy,Severe,33,97,95,No,4900,2751,354,Summer,21,344,9.991443163095317,4.376333624369261,No,17.331543857638724,No,No,No,No,66,23,High
Sugarcane,13543,None,Mediterranean,9.76,Crop Cover,659,Sandy,Low,178,64,86,Yes,4078,12208,170,Autumn,38,210,2.579693580438451,1.1868285977864546,Yes,10.34424048589456,No,No,Yes,Yes,61,43,Low
Wheat,18268,Drip,Mediterranean,5.13,Efficient Irrigation,204,Sandy,Severe,180,264,63,Yes,1032,8894,189,Summer,29,1388,8.005479862939211,3.0374380950651787,Yes,6.963384181031796,Yes,No,No,Yes,68,72,Low
Pumpkins,18525,Drip,Continental,7.22,None,902,Sandy,High,47,266,40,Yes,1091,14437,220,Autumn,26,998,1.2812393758373894,1.5889215336468865,Yes,17.280495667161645,Yes,Yes,Yes,Yes,74,36,Low
Cotton,15119,Drip,Tropical,7.51,None,841,Silty,Severe,26,259,83,Yes,3152,8211,315,Autumn,34,1074,2.8401500865516107,3.3966301372379633,Yes,5.9877483600288155,Yes,Yes,Yes,Yes,64,55,Medium
Garlic,16082,None,Continental,4.09,Mulching,405,Sandy,Low,40,191,72,No,4517,4426,280,Autumn,31,1717,5.106945042431437,3.734512280913874,Yes,12.495044496960299,Yes,No,No,No,52,57,Medium
Cotton,1633,Sprinkler,Semi-arid,8.59,Efficient Irrigation,950,Loamy,High,117,245,51,No,1602,8671,177,Autumn,36,494,1.7127741334736566,4.216518603551484,No,12.425011576491498,No,Yes,Yes,No,93,33,High
Potatoes,1129,Sprinkler,Tropical,6.26,Mulching,686,Loamy,Low,19,231,48,Yes,4595,14404,213,Summer,21,212,7.776816289204927,0.6575538878656579,No,1.5038715263018934,No,Yes,Yes,No,58,51,Low
Cabbage,5167,Flood,Tropical,7.22,None,622,Sandy,High,197,210,92,Yes,1274,7045,190,Spring,29,498,8.432673464904463,2.228641799408282,Yes,16.337037836754536,No,Yes,Yes,Yes,82,57,Medium
Quinoa,3726,None,Temperate,2.84,Crop Cover,523,Clayey,High,165,148,77,No,2717,5939,248,Autumn,39,1526,4.168337442685821,1.3311763207694844,No,6.6010434069315505,Yes,Yes,No,Yes,92,15,Medium
Potatoes,1839,Sprinkler,Temperate,1.11,Crop Cover,237,Silty,Moderate,69,138,54,Yes,4061,6750,203,Winter,29,1536,7.229693766473901,2.8411624197196232,No,8.15389332447348,No,No,Yes,No,71,66,Medium
Beans,19420,None,Tropical,8.72,Crop Cover,476,Loamy,Moderate,101,220,78,No,3207,12295,355,Winter,14,357,2.693148097072755,3.469434230332656,No,18.786364625349997,Yes,Yes,No,Yes,63,26,High
Lettuce,5277,Sprinkler,Semi-arid,5.69,None,137,Loamy,Low,61,105,20,No,3861,1778,198,Winter,40,1510,1.4968715298772697,1.6440269924699251,No,5.586757818881326,No,No,No,Yes,67,18,Low
Soybeans,663,Flood,Tropical,5.9,Efficient Irrigation,252,Sandy,Low,105,54,81,Yes,4000,4070,189,Spring,35,1501,7.768006258321558,1.6258172954119838,Yes,4.8286549241609205,Yes,Yes,No,No,74,28,Low
Pears,15100,Sprinkler,Arid,8.68,Mulching,929,Loamy,Low,53,142,37,No,1204,10603,293,Winter,24,926,4.410599485529547,3.6371457849643467,No,10.517656307043334,Yes,Yes,No,Yes,65,39,High
Pears,12174,Drip,Semi-arid,9.99,None,803,Silty,Moderate,193,291,11,Yes,4539,629,248,Autumn,40,293,7.454332952769139,4.234488489493193,No,17.582304479545126,Yes,Yes,Yes,No,68,83,Medium
Oats,17577,Sprinkler,Semi-arid,5.38,Crop Cover,793,Sandy,Low,32,110,95,No,367,2091,135,Summer,13,1996,7.8194261201848,1.361508921577955,No,9.033132210555442,No,Yes,No,Yes,56,80,Medium
Strawberries,6952,Flood,Mediterranean,2.09,Mulching,846,Clayey,High,143,190,21,Yes,1003,11800,78,Summer,25,1367,9.343211087025697,4.442107191555893,No,6.132833650127328,Yes,No,No,Yes,54,97,Medium
Broccoli,10502,Drip,Continental,3.36,None,858,Clayey,Low,38,170,79,No,1215,9470,187,Autumn,30,605,5.061017976209994,0.11581519039977473,No,15.538467824692416,No,Yes,Yes,No,73,85,Medium
Strawberries,17510,None,Tropical,7.87,Mulching,279,Loamy,Low,119,231,30,Yes,3104,12299,297,Spring,28,340,3.3475319163909933,0.47176243404984597,No,12.61198909320126,No,No,Yes,No,73,75,Low
Pineapples,10195,Sprinkler,Temperate,8.83,Crop Cover,635,Loamy,Severe,120,120,47,No,2214,3662,273,Summer,11,1408,6.111671094895683,4.335919018033369,No,9.337056885071267,Yes,Yes,No,Yes,58,32,Medium
Cauliflower,15967,Sprinkler,Arid,6.04,Efficient Irrigation,120,Sandy,Low,187,294,13,No,364,5519,118,Autumn,17,1864,2.9843171022029127,0.7629760994387254,Yes,5.101995304055147,No,No,Yes,No,70,43,Medium
Potatoes,12652,None,Semi-arid,7.92,None,578,Silty,Low,176,172,39,No,884,12346,233,Winter,17,1762,2.85240824203931,3.9460569171406967,Yes,17.896508844549114,No,Yes,No,Yes,55,29,Medium
Garlic,12128,Sprinkler,Mediterranean,8.68,Mulching,119,Clayey,Low,35,77,82,Yes,2184,11140,204,Spring,27,1990,3.9222424910174576,1.6620114062660323,Yes,9.85307521284151,Yes,Yes,No,No,91,42,High
Peas,11616,None,Temperate,4.52,Crop Cover,233,Sandy,Low,53,246,20,Yes,601,7255,335,Winter,28,246,2.6364668527446193,2.1866796100497585,No,7.579547910381644,No,No,No,Yes,53,39,Low
Strawberries,2484,Flood,Mediterranean,5.96,Crop Cover,829,Sandy,Severe,180,204,51,Yes,2454,9437,196,Spring,37,704,1.8277983311944728,1.2154634568030216,No,7.231252042184944,Yes,Yes,No,No,76,69,High
